Node Id,Node Caption,Parent Node Id,Parent Node Caption,Level,CourseNo
31000011,Endodontics,7A000,Dentistry,3,
31005976,Division of Endodontics,7A000,Dentistry,3,
30000305,Dentistry Oral Health Practice,7A000,Dentistry,3,
30000483,English,8E000,Arts and Sciences,3,
30000469,Geography,8E000,Arts and Sciences,3,
31000127,Environmental Studies,8E000,Arts and Sciences,3,
30000235,Entomology,81010,"Ag, Food and Environment",3,
30000511,Educational Policy Studies and Evaluatio,8G000,Education,3,
30000361,Emergency Medicine,7H000,Medicine,3,
31002125,Emergency Medicine - Pediatrics,7H000,Medicine,3,
30000484,Ctr For English As Second Lang,8E000,Arts and Sciences,3,
30000562,College of Fine Arts,8X000,Fine Arts,3,
30000111,Family Sciences,81010,"Ag, Food and Environment",3,
30000113,School of Human Environmental Sciences,81010,"Ag, Food and Environment",3,
30000377,Family and Community Medicine,7H000,Medicine,3,
30000236,Forestry and Natural Resources,81010,"Ag, Food and Environment",3,
30000450,Dept Of Gerontology,7P610,Public Health,3,
31000150,Graduate School,8W300,Graduate School,3,
30000458,Gender and Women's Studies,8E000,Arts and Sciences,3,
31000039,Health Sciences Education,7N800,Health Sciences,3,
30000485,History,8E000,Arts and Sciences,3,
30000048,Gaines Center,8Z110,Undergraduate Education,3,
30000112,Retailing & Tourism Management,81010,"Ag, Food and Environment",3,
30000055,Lewis Honors College,30000055,Lewis Honors College,3,
30000549,Historic Preservation,8N000,Design,3,
30000240,Horticulture,81010,"Ag, Food and Environment",3,
31000059,Integrated Biomedical Sciences,7H000,Medicine,3,
30000545,School of Information Science,8M000,Communication and Information,3,
30000551,Sch of Interiors:Planning/Strategy/Desig,8N000,Design,3,
31003975,Integrated Strategic Communication,8M000,Communication and Information,3,
30000543,School of Journalism and Media,8M000,Communication and Information,3,
30000510,Kinesiology - Health Promotion,8G000,Education,3,
30000246,Landscape Architecture,81010,"Ag, Food and Environment",3,
31000128,Latin American Studies,8E000,Arts and Sciences,3,
30000538,Law Instruction,8K000,Law,3,
31004575,Linguistics Department,8E000,Arts and Sciences,3,
30000477,Political Science,8E000,Arts and Sciences,3,
30000472,Mathematics,8E000,Arts and Sciences,3,
30000364,Internal Medicine,7H000,Medicine,3,
31000062,Medicine,7H000,Medicine,3,
30000386,Pediatrics,7H000,Medicine,3,
31002575,Department of Management,8F000,Business & Economics,3,
30000339,"Microbiology, Immunology & Molecular Gen",7H000,Medicine,3,
31002576,Dept of Marketing and Supply Chain,8F000,Business & Economics,3,
30000532,Mining Engineering,8H000,Engineering,3,
30000564,Fine Arts -  Music,8X000,Fine Arts,3,
30000407,Neurology,7H000,Medicine,3,
30000561,Dept of Pharmacology & Nutritional Scien,7H000,Medicine,3,
30000408,Neurosurgery,7H000,Medicine,3,
30000320,Nursing Instruction,7E000,Nursing,3,
31000019,Nursing,7E000,Nursing,3,
30000379,Obstetrics & Gynecology,7H000,Medicine,3,
31005806,Division of Oral Diagnosis,7A000,Dentistry,3,
31005832,Division of Orofacial Pain,7A000,Dentistry,3,
31005805,Dept of Oral Health Practice,7A000,Dentistry,3,
30000409,Ophthalmology & Visual Science,7H000,Medicine,3,
31005830,Division of Oral Pathology,7A000,Dentistry,3,
31005834,Division of Orthodontics,7A000,Dentistry,3,
31005814,Division of OMFS,7A000,Dentistry,3,
30000416,Orthopaedic Surgery,7H000,Medicine,3,
30000417,Otolaryngology,7H000,Medicine,3,
30000555,Martin School of Public Administration,8W300,Graduate School,3,
31006428,Physician Assistant Studies,7N800,Health Sciences,3,
30000385,Pathology,7H000,Medicine,3,
31005817,Division of Pediatric Dentistry,7A000,Dentistry,3,
30000307,Dentistry Periodontics,7A000,Dentistry,3,
31005808,Division of Periodontics,7A000,Dentistry,3,
30000342,Physiology,7H000,Medicine,3,
30000341,Dept of Pharmacology & Nutritional Scien,7H000,Medicine,3,
30000487,Philosophy,8E000,Arts and Sciences,3,
30000425,Pharmaceutical Sciences,7K000,Pharmacy,3,
30000424,Pharmacy Academic Affairs,7K000,Pharmacy,3,
30000242,Plant Pathology,81010,"Ag, Food and Environment",3,
30000428,Pharmacy Practice & Science,7K000,Pharmacy,3,
31005975,Division of Prosthodontics,7A000,Dentistry,3,
30000404,Psychiatry,7H000,Medicine,3,
30000478,Psychology,8E000,Arts and Sciences,3,
31006429,Physical Therapy,7N800,Health Sciences,3,
31000052,Radiation Science,7H000,Medicine,3,
30000421,Rehabilitation Medicine,7H000,Medicine,3,
30000419,Radiation Medicine,7H000,Medicine,3,
31005811,Division of Restorative Dentistry,7A000,Dentistry,3,
31000775,Sustainable Agriculture,81010,"Ag, Food and Environment",3,
31002175,STEM Education,8G000,Education,3,
30000481,Sociology,8E000,Arts and Sciences,3,
30000488,Hispanic Studies,8E000,Arts and Sciences,3,
30000480,Statistics,8E000,Arts and Sciences,3,
30000405,Surgery/General,7H000,Medicine,3,
30000566,Fine Arts -  Theatre Arts,8X000,Fine Arts,3,
30000332,Toxicology and Cancer Biology,7H000,Medicine,3,
30000049,Academic Enrichment,8Z110,Undergraduate Education,3,
30000412,Department of Urology,7H000,Medicine,3,
30000245,Veterinary Science,81010,"Ag, Food and Environment",3,
31003425,"Writing, Rhetoric and Digital Studies",8E000,Arts and Sciences,3,
98017730,"SPEC INTRO CRS, HUM: HIST OF MDRN DNCE",31000226,Arts and Sciences,4,A&S 110
98017751,"SPEC INTRO CRS, SOC SCI: GLOBALIZATION",31000226,Arts and Sciences,4,A&S 130
98019725,FOCUS: CONNECT AND RECOVER,31000226,Arts and Sciences,4,A&S 140
98019775,ASPIRE,31000226,Arts and Sciences,4,A&S 141
98020925,LDRSHP & PROF DEV: A&S AMBASSADORS,31000226,Arts and Sciences,4,A&S 160
98020925,LDRSHP & PROF DEV RCRTMNT: A&S AMBSSDRS,31000226,Arts and Sciences,4,A&S 160
98025400,"INTERNATIONAL VILLAGE, THEN AND NOW",31000226,Arts and Sciences,4,A&S 161
98000606,SPECIAL COURSE: INTERMEDIATE ASL III,31000226,Arts and Sciences,4,A&S 300
98000606,SPECIAL COURSE: INTERMEDIATE ASL IV,31000226,Arts and Sciences,4,A&S 300
98000606,SP COURSE: CONTEMPORARY AMERICAN LIT,31000226,Arts and Sciences,4,A&S 300
98018676,SPIRIT CHEMISTRY,31000226,Arts and Sciences,4,A&S 306
98011846,PERSONAL STRENGTHS & CAREER DEV,31000226,Arts and Sciences,4,A&S 350
98022688,ADV WRITING & RESEARCH FOR SOCIAL SCI,31000226,Arts and Sciences,4,A&S 420
98022763,ADV WRITING & RESEARCH IN THE HUMANITIES,31000226,Arts and Sciences,4,A&S 430
98022487,PERSPECTIVES ON DIVERSITY AND INCLUSION,31000226,Arts and Sciences,4,A&S 600
98026025,"DIV & INCL HEALTHCARE, EDU, & PUB POLICY",31000226,Arts and Sciences,4,A&S 601
98026026,DIV & INCL WITHIN BUSINESSES & ORGS,31000226,Arts and Sciences,4,A&S 602
98015263,PATHWAYS TO CREATIVITY IN THE VISUAL ART,30000563,School of Art and Visual Studies,4,A-E 120
98011740,WKSHP IN DESIGN ED FOR ELEM TEACHERS,30000563,School of Art and Visual Studies,4,A-E 200
98018552,INTRODUCTION TO ART EDUCATION,30000563,School of Art and Visual Studies,4,A-E 300
98016922,FIELD EXPERIENCES IN ART EDUCATION,30000563,School of Art and Visual Studies,4,A-E 362
98004752,INDEP WORK:ART EDUCATION,30000563,School of Art and Visual Studies,4,A-E 395
98014279,MUSEUM EDUCATION,30000563,School of Art and Visual Studies,4,A-E 560
98010750,ART IN MIDDLE SCHOOLS,30000563,School of Art and Visual Studies,4,A-E 576
98000607,ART IN SECONDARY SCHOOLS,30000563,School of Art and Visual Studies,4,A-E 577
98008160,ART IN ELEM SCHOOLS,30000563,School of Art and Visual Studies,4,A-E 578
98000608,ARTS AND HUMANITIES IN ART EDUCATION,30000563,School of Art and Visual Studies,4,A-E 579
98004753,INDEPENDENT WORK:ART EDU,30000563,School of Art and Visual Studies,4,A-E 695
98008199,MASTER'S THESIS RESEARCH,30000563,School of Art and Visual Studies,4,A-E 748
98015350,INTRODUCTION TO VISUAL STUDIES,30000563,School of Art and Visual Studies,4,A-H 101
98003605,WORLD ART BEFORE 1400,30000563,School of Art and Visual Studies,4,A-H 105
98003606,RENAISSANCE TO MODERN ART,30000563,School of Art and Visual Studies,4,A-H 106
98016000,TOPICS IN AHVS: ART & ENVIRONMENT,30000563,School of Art and Visual Studies,4,A-H 300
98016100,CRSS CULT TOP IN AHVS: ISLAMIC ART & ARC,30000563,School of Art and Visual Studies,4,A-H 301
98018976,AFRICAN ART AND ITS GLOBAL IMPACT,30000563,School of Art and Visual Studies,4,A-H 304
98008965,"MEDIEVAL: SENSES: ART, ARCHTCTRE & EXP",30000563,School of Art and Visual Studies,4,A-H 323
98003610,20TH CENTURY: GLOBAL MODERNISM,30000563,School of Art and Visual Studies,4,A-H 341
98003610,20TH CENTURY: PHOTOGRAPHIC HIST OF PARIS,30000563,School of Art and Visual Studies,4,A-H 341
98003611,AM ART+VIS STDS: GEND+SEXLTY 20-21 CENT,30000563,School of Art and Visual Studies,4,A-H 342
98008968,CONTEMP ART & VIS STUD: CONTEMP PHOTO,30000563,School of Art and Visual Studies,4,A-H 350
98015078,VISUAL CULTURE OF POLITICS,30000563,School of Art and Visual Studies,4,A-H 360
98003613,EXPERIENTIAL EDU IN A-H & VIS STUDIES,30000563,School of Art and Visual Studies,4,A-H 399
98008970,MUSEUM STUDIES II: INTERNSHIP,30000563,School of Art and Visual Studies,4,A-H 502
98016147,PRACTICAL ISSUES A-H: ART & AUTHENTICITY,30000563,School of Art and Visual Studies,4,A-H 504
98012257,ART HIST/VISUAL STUDIES HONORS THESIS,30000563,School of Art and Visual Studies,4,A-H 510
98016148,THEORY & MTHDS: INVESTIGATING PROVENANCE,30000563,School of Art and Visual Studies,4,A-H 524
98008973,ART & ARTIST IN SOCIETY: RACE & REPRSTN,30000563,School of Art and Visual Studies,4,A-H 526
98008975,TP SEM AHVS: ART FROM AUTOMATA TO AI,30000563,School of Art and Visual Studies,4,A-H 528
98008976,METHODS IN ART HISTORY & VISUAL STUDIES,30000563,School of Art and Visual Studies,4,A-H 555
98003614,COORDINATE STUDY IN A-H & VISUAL STUDIES,30000563,School of Art and Visual Studies,4,A-H 598
98016150,EXPERIENTIAL ED IN A-H & VISUAL STUDIES,30000563,School of Art and Visual Studies,4,A-H 599
98015850,PRACTICAL PROBLEMS A-H: ART & AUTNTCTY,30000563,School of Art and Visual Studies,4,A-H 604
98015851,THRY & METHODS: INVESTIGATING PROVENANCE,30000563,School of Art and Visual Studies,4,A-H 624
98009725,ARTIST IN SOCIETY: RACE & REPRESENTATION,30000563,School of Art and Visual Studies,4,A-H 626
98009727,TP SEM AHVS: ART FROM AUTOMATA TO AI,30000563,School of Art and Visual Studies,4,A-H 628
98020658,ADVANCED CONTEMPORARY ART HISTORY,30000563,School of Art and Visual Studies,4,A-H 650
98017825,ADV. RESEARCH METHODS A-H/VS,30000563,School of Art and Visual Studies,4,A-H 655
98018680,MASTERS PORTFOLIO PREPARATION,30000563,School of Art and Visual Studies,4,A-H 738
98008200,MASTER'S THESIS RESEARCH,30000563,School of Art and Visual Studies,4,A-H 748
98013194,THESIS FORMULATION & PREP IN ART HISTORY,30000563,School of Art and Visual Studies,4,A-H 768
98003615,INDEP WORK: ART HISTORY,30000563,School of Art and Visual Studies,4,A-H 780
98014553,FOUNDATION EXHIBITION,30000563,School of Art and Visual Studies,4,A-S 001
98000611,2D,30000563,School of Art and Visual Studies,4,A-S 102
98003616,3D,30000563,School of Art and Visual Studies,4,A-S 103
98014528,DRAWING,30000563,School of Art and Visual Studies,4,A-S 130
98003617,DIGITAL ART,30000563,School of Art and Visual Studies,4,A-S 200
98015904,CERAMICS FOR NON-MAJORS,30000563,School of Art and Visual Studies,4,A-S 270
98015080,INTRO PHOTOGRAPHIC LITERACY,30000563,School of Art and Visual Studies,4,A-S 280
98019553,LENS ARTS,30000563,School of Art and Visual Studies,4,A-S 285
98017059,DIGITAL PHOTOGRAPHY,30000563,School of Art and Visual Studies,4,A-S 300
98017058,STUDIO LIGHTING,30000563,School of Art and Visual Studies,4,A-S 305
98021875,"CINEMATOGRAPHY: LIGHTS, CAMERA, ACTION",30000563,School of Art and Visual Studies,4,A-S 306
98000614,PAINTING I,30000563,School of Art and Visual Studies,4,A-S 310
98000615,PAINTING II,30000563,School of Art and Visual Studies,4,A-S 311
98000616,PRINTMEDIA: SCREENPRINT/RELIEF,30000563,School of Art and Visual Studies,4,A-S 320
98000617,PRINTMEDIA: INTAGLIO/LITHOGRAPHY,30000563,School of Art and Visual Studies,4,A-S 321
98003618,INTERMEDIATE DRAWING,30000563,School of Art and Visual Studies,4,A-S 330
98014556,EXPLORATION HUMAN FORM,30000563,School of Art and Visual Studies,4,A-S 331
98023875,DIGITAL DRAWING AND ILLUSTRATION,30000563,School of Art and Visual Studies,4,A-S 335
98003619,INTRODUCTION TO GRAPHIC DESIGN,30000563,School of Art and Visual Studies,4,A-S 340
98005133,GRAPHIC DESIGN:LAYOUT,30000563,School of Art and Visual Studies,4,A-S 341
98022725,TYPOGRAPHY,30000563,School of Art and Visual Studies,4,A-S 342
98021876,ANIMATION: EXPERIMENTAL 3D,30000563,School of Art and Visual Studies,4,A-S 343
98021876,ANIMATION: MOTION DESIGN,30000563,School of Art and Visual Studies,4,A-S 343
98010625,WEB DESIGN,30000563,School of Art and Visual Studies,4,A-S 345
98010626,DIGITAL VIDEO,30000563,School of Art and Visual Studies,4,A-S 346
98010627,FILM VIDEO SONIC ART: EXPERIMENTAL FILM,30000563,School of Art and Visual Studies,4,A-S 347
98010627,FILM VIDEO & SNC ART TOP: VIDEO ART PTRY,30000563,School of Art and Visual Studies,4,A-S 347
98014529,CIRCUITS AND BITS,30000563,School of Art and Visual Studies,4,A-S 348
98024425,VIRTUAL REALITY I: OBJECTS & ENVIRONMENT,30000563,School of Art and Visual Studies,4,A-S 349
98003620,INTRODUCTION TO FIBER,30000563,School of Art and Visual Studies,4,A-S 350
98003621,SOFT SCULPTURE,30000563,School of Art and Visual Studies,4,A-S 351
98022726,WOVEN STRUCTURES,30000563,School of Art and Visual Studies,4,A-S 352
98014557,INTRO TO SCULPTURE,30000563,School of Art and Visual Studies,4,A-S 355
98003622,INTRODUCTION TO HOT METALS: FABRICATION,30000563,School of Art and Visual Studies,4,A-S 360
98003623,INTRODUCTION TO HOT METALS: CASTING,30000563,School of Art and Visual Studies,4,A-S 361
98020660,INTRODUCTION TO DIGITAL FABRICATION,30000563,School of Art and Visual Studies,4,A-S 364
98020661,DIGITAL FABRICATION AND DESIGN,30000563,School of Art and Visual Studies,4,A-S 365
98000618,CERAMICS I,30000563,School of Art and Visual Studies,4,A-S 370
98000619,CERAMICS II,30000563,School of Art and Visual Studies,4,A-S 371
98005134,BLACK AND WHITE DARKROOM PHOTOGRAPHY,30000563,School of Art and Visual Studies,4,A-S 380
98010628,INTERMEDIATE PHOTOMANIPULATION:PHOTOSHOP,30000563,School of Art and Visual Studies,4,A-S 385
98007352,ALTERNATIVE PROCESSES PHOTOGRAPHY I,30000563,School of Art and Visual Studies,4,A-S 386
98018462,ADV DIGITAL POST-PRODUCTION,30000563,School of Art and Visual Studies,4,A-S 387
98003847,TOPICAL STUDIES: CREATING 3D ASSETS,30000563,School of Art and Visual Studies,4,A-S 390
98003847,TOPICAL STUDIES: BLACKSMITHING,30000563,School of Art and Visual Studies,4,A-S 390
98003847,TOPICAL STUDIES: ADVANCED BLACKSMITHING,30000563,School of Art and Visual Studies,4,A-S 390
98003847,"TOP STU: DIGITAL PHTGRPHY, LIGHT & COLOR",30000563,School of Art and Visual Studies,4,A-S 390
98004754,INDEP WORK: ART STUDIO,30000563,School of Art and Visual Studies,4,A-S 395
98003848,WORKSHOP (SUBTITLE REQ),30000563,School of Art and Visual Studies,4,A-S 396
98003849,COORD STUDIES/ART STUDIO,30000563,School of Art and Visual Studies,4,A-S 398
98003624,EXPERIENTIAL EDUCATION,30000563,School of Art and Visual Studies,4,A-S 399
98020233,DIGITAL VIDEO: VISUAL STORYTELLING,30000563,School of Art and Visual Studies,4,A-S 446
98003625,SENIOR SEMINAR,30000563,School of Art and Visual Studies,4,A-S 490
98000620,PAINTING III,30000563,School of Art and Visual Studies,4,A-S 510
98003626,PAINTING IV,30000563,School of Art and Visual Studies,4,A-S 511
98000621,PRINTMEDIA: ADVANCED PROCESSES,30000563,School of Art and Visual Studies,4,A-S 520
98003627,PRINTMEDIA: CONTEMPORARY PRACTICES,30000563,School of Art and Visual Studies,4,A-S 521
98003628,ADVANCED DRAWING,30000563,School of Art and Visual Studies,4,A-S 530
98024475,ADV DIGITAL DRAWING AND ILLUSTRATION,30000563,School of Art and Visual Studies,4,A-S 535
98005135,GRAPHIC DESIGN: PUBLICATION DESIGN,30000563,School of Art and Visual Studies,4,A-S 540
98010293,GRAPHIC DSGN:ADV DESIGN,30000563,School of Art and Visual Studies,4,A-S 541
98012414,INTERMEDIA STUDIO: INSTALLATION,30000563,School of Art and Visual Studies,4,A-S 546
98012414,INTERMEDIA STUDIO: INDEPENDENT FILM,30000563,School of Art and Visual Studies,4,A-S 546
98018431,DIGITAL MEDIA PROJECTS CAPSTONE,30000563,School of Art and Visual Studies,4,A-S 547
98024825,VIRTUAL REALITY II: INTERACTIVE SPACES,30000563,School of Art and Visual Studies,4,A-S 549
98003629,ADVANCED FIBER I,30000563,School of Art and Visual Studies,4,A-S 550
98003630,ADVANCED FIBER II,30000563,School of Art and Visual Studies,4,A-S 551
98022719,ADVANCED WOVEN STRUCTURES,30000563,School of Art and Visual Studies,4,A-S 552
98003631,ADVANCED HOT METALS: FABRICATION,30000563,School of Art and Visual Studies,4,A-S 560
98003632,ADVANCED HOT METALS: CASTING,30000563,School of Art and Visual Studies,4,A-S 561
98000622,CERAMICS III,30000563,School of Art and Visual Studies,4,A-S 570
98000623,CERAMICS IV,30000563,School of Art and Visual Studies,4,A-S 571
98005136,PHOTOGRAPHY PROJECTS I,30000563,School of Art and Visual Studies,4,A-S 580
98005137,PHOTOGRAPHY PROJECTS II,30000563,School of Art and Visual Studies,4,A-S 581
98007354,ALTERNATIVE PROCESSES PHOTOGRAPHY II,30000563,School of Art and Visual Studies,4,A-S 586
98000625,PAINTING V,30000563,School of Art and Visual Studies,4,A-S 610
98004755,PAINTING VI,30000563,School of Art and Visual Studies,4,A-S 611
98004756,PRINTMAKING V,30000563,School of Art and Visual Studies,4,A-S 620
98008868,GRADUATE DRAWING,30000563,School of Art and Visual Studies,4,A-S 630
98005138,ADVANCED FIBER III,30000563,School of Art and Visual Studies,4,A-S 650
98005139,ADVANCED FIBER IV,30000563,School of Art and Visual Studies,4,A-S 651
98005140,SCULPTURE V,30000563,School of Art and Visual Studies,4,A-S 660
98005141,SCULPTURE VI,30000563,School of Art and Visual Studies,4,A-S 661
98005142,CERAMICS V,30000563,School of Art and Visual Studies,4,A-S 670
98005143,CERAMICS VI,30000563,School of Art and Visual Studies,4,A-S 671
98007355,PHOTOGRAPHY V,30000563,School of Art and Visual Studies,4,A-S 680
98007356,PHOTOGRAPHY VI,30000563,School of Art and Visual Studies,4,A-S 681
98008869,PROBLEMS IN PAINTING,30000563,School of Art and Visual Studies,4,A-S 710
98008870,PROBLEMS IN PRINTMAKING,30000563,School of Art and Visual Studies,4,A-S 720
98008871,PROBLEMS IN DRAWING,30000563,School of Art and Visual Studies,4,A-S 730
98000626,PROBLEMS IN FIBER,30000563,School of Art and Visual Studies,4,A-S 740
98000627,PROBLEMS IN SCULPTURE,30000563,School of Art and Visual Studies,4,A-S 750
98000629,PROBLEMS IN CERAMICS,30000563,School of Art and Visual Studies,4,A-S 770
98012851,PROBLEMS IN INTERMEDIA,30000563,School of Art and Visual Studies,4,A-S 777
98007357,PROBS IN PHOTOGRAPHY,30000563,School of Art and Visual Studies,4,A-S 779
98000630,PROBLEMS IN DESIGN,30000563,School of Art and Visual Studies,4,A-S 780
98000631,GRADUATE STUDIO SEMINAR,30000563,School of Art and Visual Studies,4,A-S 793
98008872,INDEPENDENT RESEARCH,30000563,School of Art and Visual Studies,4,A-S 795
98000628,M.F.A. STUDIO THESIS PROJECT,30000563,School of Art and Visual Studies,4,A-S 799
98022497,EI FOR AAD: SELF-AWARENESS,31000151,Arts Administration,4,AAD 103
98015351,ARTS IN ACTION,31000151,Arts Administration,4,AAD 150
98026775,ORGANIZING THE ARTS,31000151,Arts Administration,4,AAD 180
98022656,EI FOR AAD: EMPATHY,31000151,Arts Administration,4,AAD 203
98025401,ARTS ADMINISTRATION TECHNOLOGIES,31000151,Arts Administration,4,AAD 240
98018703,WORKPLACE READINESS AND CAREER PLANNING,31000151,Arts Administration,4,AAD 299
98018704,MANAGEMENT AND PLANNING FOR THE ARTS,31000151,Arts Administration,4,AAD 300
98022748,EI FOR AAD: COLLABORATION AND TEAMWORK,31000151,Arts Administration,4,AAD 303
98010629,ARTS ADMIN BUSINESS COMMUNICATIONS,31000151,Arts Administration,4,AAD 305
98009458,MARKETING FOR THE ARTS,31000151,Arts Administration,4,AAD 310
98009459,FUNDRAISING FOR THE ARTS,31000151,Arts Administration,4,AAD 320
98010632,FINANCIAL MGMT FOR ARTS ORGANIZATIONS I,31000151,Arts Administration,4,AAD 350
98022775,EI FOR AAD: MANAGING SOCIAL RELP & RESP,31000151,Arts Administration,4,AAD 353
98018725,FIN MANAGEMENT FOR ARTS ORGANIZATIONS II,31000151,Arts Administration,4,AAD 370
98025460,EVENT PLANNING & MANAGEMENT FOR THE ARTS,31000151,Arts Administration,4,AAD 380
98020653,INDEPENDENT STUDY IN ARTS ADMINISTRATION,31000151,Arts Administration,4,AAD 395
98010633,ARTS ADMINISTRATION PRACTICUM,31000151,Arts Administration,4,AAD 399
98022776,EI FOR AAD: DECISION-MAKING,31000151,Arts Administration,4,AAD 403
98018727,ARTS ENTREPRENEURSHIP,31000151,Arts Administration,4,AAD 410
98010631,LEGAL ENVIRONMENT OF ARTS ADMINISTRATION,31000151,Arts Administration,4,AAD 420
98025801,ARTS ADVOCACY,31000151,Arts Administration,4,AAD 425
98017679,ARTS ADMINISTRATION SENIOR SEMINAR,31000151,Arts Administration,4,AAD 450
98020525,MANAGING YOUR ARTISTIC CAREER,31000151,Arts Administration,4,AAD 475G
98025575,ARTS PROGRAMMING,31000151,Arts Administration,4,AAD 480
98026825,NONPROFIT ARTS ORGANIZATION INTERNSHIP,31000151,Arts Administration,4,AAD 498
98009574,INTERNSHIP IN ARTS ADMINISTRATION,31000151,Arts Administration,4,AAD 499
